"month","day","broad.behavior","lon","Freq"
"8","3","Territorial/mating","-115.6651",0
"5","4","Territorial/mating","-115.6651",0
"8","4","Territorial/mating","-115.6651",0
"5","5","Territorial/mating","-115.6651",0
"8","5","Territorial/mating","-115.6651",0
"5","6","Territorial/mating","-115.6651",0
"8","6","Territorial/mating","-115.6651",0
"5","7","Territorial/mating","-115.6651",0
"8","7","Territorial/mating","-115.6651",0
"5","8","Territorial/mating","-115.6651",0
"8","8","Territorial/mating","-115.6651",0
"5","9","Territorial/mating","-115.6651",0
"8","9","Territorial/mating","-115.6651",0
"5","10","Territorial/mating","-115.6651",0
"8","10","Territorial/mating","-115.6651",0
"5","14","Territorial/mating","-115.6651",0
"8","14","Territorial/mating","-115.6651",0
"5","15","Territorial/mating","-115.6651",0
"8","15","Territorial/mating","-115.6651",0
"5","16","Territorial/mating","-115.6651",0
"8","16","Territorial/mating","-115.6651",0
"5","17","Territorial/mating","-115.6651",0
"8","17","Territorial/mating","-115.6651",0
"5","18","Territorial/mating","-115.6651",0
"8","18","Territorial/mating","-115.6651",0
"5","19","Territorial/mating","-115.6651",0
"8","19","Territorial/mating","-115.6651",0
"5","20","Territorial/mating","-115.6651",0
"8","20","Territorial/mating","-115.6651",0
"5","21","Territorial/mating","-115.6651",0
"8","21","Territorial/mating","-115.6651",0
"5","22","Territorial/mating","-115.6651",0
"8","22","Territorial/mating","-115.6651",0
"5","23","Territorial/mating","-115.6651",0
"8","23","Territorial/mating","-115.6651",0
"5","24","Territorial/mating","-115.6651",0
"8","24","Territorial/mating","-115.6651",0
"5","1","Active movement","-115.66496",0
"8","1","Active movement","-115.66496",0
"5","2","Active movement","-115.66496",0
"8","2","Active movement","-115.66496",0
"5","3","Active movement","-115.66496",0
"8","3","Active movement","-115.66496",0
"5","4","Active movement","-115.66496",0
"8","4","Active movement","-115.66496",0
"5","5","Active movement","-115.66496",0
"8","5","Active movement","-115.66496",0
"5","6","Active movement","-115.66496",0
"8","6","Active movement","-115.66496",0
"5","7","Active movement","-115.66496",0
"8","7","Active movement","-115.66496",0
"5","8","Active movement","-115.66496",0
"8","8","Active movement","-115.66496",0
"5","9","Active movement","-115.66496",0
"8","9","Active movement","-115.66496",0
"5","10","Active movement","-115.66496",0
